2026 Season - All Meets & Assignments,,,,,,,,,,
,,,,,,,,,,
Week,Event,Date,Type,Lead,Color,,Producer,Status,Talent grooup chat ,Available Talent
Week 0,William & Mary Green & Gold (Men's),,MAG,Ian Creelman,N/a,,Kyle Abe,,,
Week 0,William & Mary Green & Gold (Women's),,WAG,N/a,N/a,,Isaac,,,
Week 0,WCU Purple vs. Gold (2025),,WAG,Tiara DeTommaso,,,Isaac,,,
Week 2,CAL: Jan 09 vs Stanford - 6:00 PM PT,Jan 09,MAG,Dylan Shepard,David Jessen,,Isaac,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 2,SEMO: Jan 09 vs Central Michigan,Jan 09,WAG,n/a,n/a,,n/a,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 2,NAVY: Jan 10 vs Springfield College - 2:00 PM ET,Jan 10,MAG,Christian Marsh,Brandon Brionies,,Zane,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 2,BROCKPORT: Jan 10 vs Ithaca College - 2:00 PM ET,Jan 10,WAG,n/a,n/a,,n/a,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 2,FISK: Jan 11 vs Wilberforce University - 2:00 PM C,Jan 11,WAG,Andrea Maldonado,Paris McGee,,Kyle,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 3,ARMY: Jan 16 vs West Point Open - 7:00 PM ET,Jan 16,MAG,n/a,n/a,,n/a,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 3,WINONA STATE: Jan 16 vs UW-Eau Claire,Jan 16,WAG,n/a,n/a,,n/a,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 3,AIR FORCE: Jan 17 vs Rocky Mountain Open - 6:00 PM,Jan 17,MAG,n/a,n/a,,n/a,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 3,ARMY: Jan 17 vs West Point Open Finals - 7:00 PM E,Jan 17,MAG,n/a,n/a,,n/a,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Ashley Jessen, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 3,SIMPSON: Jan 17 vs Wis.-Whitewater - 2:00 PM CT,Jan 17,WAG,Andrea Maldonado,Baely Rowe,,,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 3,ITHACA: Jan 18 vs Ursinus College - 1:00 PM ET,Jan 18,WAG,n/a,n/a,,n/a,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 4,WINONA STATE: Jan 23 vs UW-Stout - 6:00 PM CT,Jan 23,WAG,n/a,n/a,,n/a,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 4,WCU vs W&M @ 11:30 CT,Jan 24,WAG,Tiara DeTommaso,Nate Salsman,,Isaac,,,
Week 4,STANFORD: Jan 24 vs Stanford Open - 7:00 PM PT,Jan 24,MAG,taylor,Khoi,,Isaac,Ambert is doing,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 4,SIMPSON: Jan 24 vs Army - 6:30 PM CT,Jan 24,MAG,Yarosalv,David,,CANCELED,Sent Message for Site eval ,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
