✓,Item,Owner,12/5/2025,Days Out from comp start ,Category,Links,Next Steps,Notes,TOC,Priority
,Send an Email to coaches asking for contact information of Alumni who are interested in commentary talent,Isaac ,11/20/2025,15, Communications,,,,,
,Recieve emails for alumni talent from Head coach,Isaac ,11/30/2025,5,Deliverable,,,,,
,Send out 10 Messages to Potential Talent ,Isaac ,11/21/2025,14, Communications,https://docs.google.com/spreadsheets/d/1reYJ4jWWngWaGY-hlrCKYTv2LQwfVFd_PICsARNFBys/edit#gid=353082143,,,,
,Upload Custom animated background to google drive in canva grpahics generator,Isaac ,11/21/2025,14,Graphics,https://drive.google.com/drive/folders/1uVUCMp5BBl1m8qycwdv9fNywmq1va0P6,,,,
,Create Custom animated background for home team ,Isaac ,11/21/2025,14,Graphics,,,,,
,Confirm talent with coaches via email ,Isaac ,11/30/2025,5, Communications,,,,,
,"Request Camera Op Phone Number, Game Day Cam #(s)",Isaac ,11/29/2025,6,Communications/Camera Op,,,,,
,"Send out pre-meet email (request talent, meet timeline, meet graphics, sponsors & requirements, request cameras/tripods/backup battery, request phone # of designated Camera Op, request pre-meet day camera op test, Session link, YouTube link for streaming, share existing site eval for correctness/ Request new site evaluation, Scoring ops login, explainer video, display ops",Isaac ,11/29/2025,6, Communications,,,,,
,Prep / Review Site Evaluation for Site ,Isaac ,11/29/2025,6,Site Evaluation ,,,,,
,Look at prior footage for the site evaluation ,Isaac ,11/29/2025,6,Site Evaluation ,,,,,
,Take a 360 video of the competition arena to see how things are laid out,Isaac ,11/29/2025,6,Site Evaluation ,,,,,
,Schedule Stie Evalution ,Isaac ,11/29/2025,6,Site Evaluation ,,,,,
,Identify where the speakers are and reduce the camera shake from subwoofer,Isaac ,11/29/2025,6,Site Evaluation ,,,,,
,Confirm internet speed is updated in keynote ,Isaac ,11/29/2025,6,Site Evaluation ,,,,,
,Confirm Site Evalution and camera placements with coaches ,Isaac ,11/30/2025,5,Site Evaluation ,,,,,
,Confirm Camera layout of Site Evaluation with Staff,Isaac ,11/30/2025,5,Site Evaluation ,,,,,
,Update keynote Site Evaluation of the final Camera angles and spots,Isaac ,11/30/2025,5,Site Evaluation ,NEED TO ADD LINK TO SITE EVAL ,,,,
,Add Event to calendar for Team on Calendar,Isaac ,11/29/2025,6, Internal Scheduling ,,,,,
,Add Venue Ops Bring up on Calendar ,Isaac ,11/29/2025,6, Internal Scheduling ,,,,,
,Add Commentator bring up to calendar,Isaac ,11/29/2025,6, Internal Scheduling ,,,,,
,Add Dry Run to Calendar ,Isaac ,11/29/2025,6, Internal Scheduling ,,,,,
,Pull session 1 and configure with teams / times / public / judges,Isaac ,11/29/2025,6,Session,https://virti.us/session?s=WMxis-DzZh,,,,
,Check headshots to make sure all up to date for 2023 and edited properly,Isaac ,11/29/2025,6,Session,,,,,
,Check rosters for both teams to be latest and updated,Isaac ,11/29/2025,6,Session,,,,,
,Put Session on the Front page,Isaac ,11/29/2025,6,Session,,,,,
,Test session configured to do pre-flight work...,Isaac ,11/29/2025,6,Session,,,,,
,Contanct Prior Camera Op to see if they will be running. ,Isaac ,11/29/2025,6,Camera Ops,,,,,
,"Add Cameras and (Camera Name, port, apparatus) config to Camera Shot configuration to Google sheet",Isaac ,11/29/2025,6,Camera Ops,https://docs.google.com/spreadsheets/d/1eFXw97Eb7ZBYc39RoxjbGoG_YftAMS4mN3ZWoVVvuYM/edit#gid=173011729,,,,
,Create QR code to be sent to each camera in Larix,Isaac ,11/29/2025,6,Camera Ops,,,,,
,Send QR code / Camera Link to each game day camera,Isaac ,11/30/2025,5,Camera Ops,,,,,
,Send over Larix Activation QR Code in text group chat,Isaac ,12/3/2025,2,Camera Ops,https://larixtuner.softvelum.com/account/devices,,,,
,Confirm Camera Op knows to not move the camera immediately after the rotation ,Isaac ,12/3/2025,2,Camera Ops,,,,,
,Provide Camera Op with Camera refernce Angles,Isaac ,12/3/2025,2,Camera Ops,,,,,
,Confirm Larix premium on all gameday cameras ,Isaac ,12/1/2025,4,Camera Ops,,,,,
,Confirm connection via larix link/QR code on all game day cameras,Isaac ,12/1/2025,4,Camera Ops,,,,,
