Time PST,Time MST,Time CST,Time EST,duration,id,name,type,obsScene,autoAdvance,graphic,graphicData,notes,,,,,
3:15:00 PM,4:15:00 PM,5:15:00 PM,6:15:00 PM,0:15:00,,Stream Starting Soon,live,Stream Starting Soon,TRUE,,,,,,,,1:00:00
3:30:00 PM,4:30:00 PM,5:30:00 PM,6:30:00 PM,0:00:00,,Warm up Ends,live,Stream Starting Soon,FALSE,,,,,,,,2:00:00
3:30:00 PM,4:30:00 PM,5:30:00 PM,6:30:00 PM,0:00:00,,Lineup for march-in,live,Stream Starting Soon,,,,,,,,,
3:30:00 PM,4:30:00 PM,5:30:00 PM,6:30:00 PM,0:01:00,,March- in & team intros,live,March In - Camera A,,,,,,,,,
3:31:00 PM,4:31:00 PM,5:31:00 PM,6:31:00 PM,0:02:00,,National Anthem,live,March In - Camera A,,,,,,,,,
3:33:00 PM,4:33:00 PM,5:33:00 PM,6:33:00 PM,0:00:00,,Commentatry goes live,live,March In - Camera A,,,,,,,,,
3:33:00 PM,4:33:00 PM,5:33:00 PM,6:33:00 PM,0:00:30,,Event Intro,graphic,March In - Camera A,,,,,,,,,
3:33:30 PM,4:33:30 PM,5:33:30 PM,6:33:30 PM,0:00:15,,Commentatary Intro,graphic,March In - Camera A,,,,,,,,,
3:33:45 PM,4:33:45 PM,5:33:45 PM,6:33:45 PM,0:00:15,,Team 1 Coach Intro,graphic,March In - Camera A,,,,,,,,,
3:34:00 PM,4:34:00 PM,5:34:00 PM,6:34:00 PM,0:00:20,,Team 1 Stats,graphic,March In - Camera A,,,,,,,,,
3:34:20 PM,4:34:20 PM,5:34:20 PM,6:34:20 PM,0:00:20,,Team 2 Coach Intro,graphic,March In - Camera A,,,,,,,,,
3:34:40 PM,4:34:40 PM,5:34:40 PM,6:34:40 PM,0:00:20,,Team 2 Stats,graphic,March In - Camera A,,,,,,,,,
3:35:00 PM,4:35:00 PM,5:35:00 PM,6:35:00 PM,0:16:00,,Competition Begins - FX ,live,Core Video View - Camera A,,,,,,,,,
3:51:00 PM,4:51:00 PM,5:51:00 PM,6:51:00 PM,0:01:00,,Floor Ends,live,Core Video View - Camera A,,,,,,,,,
3:52:00 PM,4:52:00 PM,5:52:00 PM,6:52:00 PM,0:01:00,,Event Summary,live,Event Summary - 5x,,,,,,,,,
3:53:00 PM,4:53:00 PM,5:53:00 PM,6:53:00 PM,0:01:00,,Upcoming Lineup,live,Lineups - 5x,,,,,,,,,
3:54:00 PM,4:54:00 PM,5:54:00 PM,6:54:00 PM,0:16:00,,Competition Begins - PH,live,Core Video View - Camera A,,,,,,,,,
4:10:00 PM,5:10:00 PM,6:10:00 PM,7:10:00 PM,0:01:00,,Horse Ends,live,Core Video View - Camera A,,,,,,,,,
4:11:00 PM,5:11:00 PM,6:11:00 PM,7:11:00 PM,0:01:00,,Event Summary,live,Event Summary - 5x,,,,,,,,,
4:12:00 PM,5:12:00 PM,6:12:00 PM,7:12:00 PM,0:01:00,,Upcoming Lineup,live,Lineups - 5x,,,,,,,,,
4:13:00 PM,5:13:00 PM,6:13:00 PM,7:13:00 PM,0:10:00,,Competition Begins - SR,live,Core Video View - Camera A,,,,,,,,,
4:23:00 PM,5:23:00 PM,6:23:00 PM,7:23:00 PM,0:01:00,,Rings Ends,live,Core Video View - Camera A,,,,,,,,,
4:24:00 PM,5:24:00 PM,6:24:00 PM,7:24:00 PM,0:02:00,,Event Summary,live,Event Summary - 5x,,,,,,,,,
4:26:00 PM,5:26:00 PM,6:26:00 PM,7:26:00 PM,0:02:00,,Upcoming Lineup,live,Lineups - 5x,,,,,,,,,
4:28:00 PM,5:28:00 PM,6:28:00 PM,7:28:00 PM,0:10:00,,Competition Begins - VT,live,Core Video View - Camera A,,,,,,,,,
